"municipio","valor","unidade","rotas_descritas","evidencia","confianca","erro"
"Dois Irmãos","vermelho","semáforo (verde/vermelho)","N/A","""11 — 'ROTAS DE FUGA': ... não há necessidade de pré‑definir rotas oficiais de evacuação para eventos de inundação"" e ""evacuações ... são definidas operacionalmente no momento da ocorrência""","alta",""
"Dois Lajeados","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos: Abrigo 01 Identificação: Ginásio Municipal ... Endereço: Rua Dr° Carlos Erani Coelho leal, Centro, Dois Lajeados, N°80","alta",""
"Dom Feliciano","vermelho","semáforo (verde/vermelho)","N/A","Documento lista ""Áreas de Risco do Município"" com locais (Bairro São Francisco; Faxinal; Ponte do Sutil / Cavadeira) e coordenadas, e em outra parte contém seção ""Que ações devem ser desenvolvidas"" com ações genéricas (ex.: ""Mapeamento para prevenção nas áreas recorrentes"", ""Socorro, com os meios disponíveis às vítimas dos sinistros""), sem descrição de trajeto de evacuação por ruas nomeadas ou mapa de rotas específico","alta",""
"Dona Francisca","vermelho","semáforo (verde/vermelho)","N/A","As ações indicam apenas encaminhar pessoas para familiares e abrigos e lista de abrigos com endereços (ex.: ""Encaminhar pessoas para familiares e abrigos""; Abrigo I: ""RUA GUILHERME BARCHET, 151 – BAIRRO COHAB""), sem descrição de trajeto nomeado ligando áreas de risco a ponto de encontro/abrigo nem mapa de rotas definido","alta",""
"Doutor Ricardo","vermelho","semáforo (verde/vermelho)","N/A","As áreas de risco e localidades são listadas (ex.: ""Diversos pontos no interior do Município, na Linha Leopolda, Linha Rio Verde, Linha Rio Branco, Linha São Paulo, Linha Gruta, Linha Guilhermina, Linha Bonita Baixa."") e há lista de abrigos com endereços (ex.: ""Centro de Referência da Assistência Social - CRAS. Rua Clemente Schussler, nº - 28 Centro.""), mas não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro","alta",""
"Eldorado do Sul","verde","semáforo (verde/vermelho)","Para evacuação da localidade de Passo dos Pires, a evacuação deverá ocorrer pela Estrada do Açude; Para evacuação da Localidade do Rincão, a Avenida Ângelo Colovini é a rota direta até a BR-290; Para evacuação da Localidade do Poncho Verde, a Avenida das Samambaias é a rota direta até a BR-290; Para evacuação do Parque das Acácias, priorizar evacuação pela Rua Luz da Criança e pela Estrada do Açude.","“Para evacuação da localidade de Passo dos Pires, a evacuação deverá ocorrer pela Estrada do Açude.” “Para evacuação da Localidade do Rincão, a Avenida Ângelo Colovini é a rota direta até a BR-290.” “Para evacuação da Localidade do Poncho Verde, a Avenida das Samambaias é a rota direta até a BR-290.” “Para evacuação do parque das Acácias, deve-se priorizar a evacuação pela Rua Luz da Criança, e pela Estr. do Açude”","alta",""
"Encantado","verde","semáforo (verde/vermelho)","Porto Quinze — Da Rua Aurélio Hélio Moesch e Tv. Da lagoa – Para Rua Tiradentes; Barra do Jacaré — Rua Taquari até Novo Loteamento Kuffel – B. Planalto","ROTA DE FUGA Nome Tipo de acesso Origem e destino Tempo estimado / distância Cota / referência de inutilização Observações Porto Quinze Rua pavimentada Da Rua Aurélio Hélio Moesch e Tv. Da lagoa – Para Rua Tiradentes 5 minutos/ 1km 18m Barra do Jacaré Rua pavimentada Rua Taquari até Novo Loteamento Kuffel – B. Planalto 10 minutos/ 2km 16 a 18m","alta",""
"Encruzilhada do Sul","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos e áreas de risco são descritas (ex.: ""Abrigo I Identificação: GINÁSIO MESQUITÃO Endereço: AVENIDA RIO BRANCO"") e áreas de risco listadas (ex.: ""VILA DA FONTE INUNDAÇÃO/VENDAVAL""), sem indicação de trajeto de evacuação por ruas nomeadas ou mapa de rotas definido.","alta",""
"Erebango","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação com ruas nomeadas; constam apenas procedimentos gerais, ações a serem desenvolvidas, e lista de abrigos com endereços (ex.: ""Lista de Abrigos ... Ginásio da Escola Municipal ... Endereço: Rua Henrique Borgmann, Bairro Esperança – Erebango."") [ref_id:11][ref_id:9]","alta",""
"Erechim","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS ... Identificação: Ginásio Municipal Bela Vista Endereço: Rua Benjamin Mosena, 181 – Bela Vista ... MAPA DO MUNICÍPIO DE ERECHIM; Elaborar planejamento e modificações, tais como rotas, sinalização, etc. em locais vulneráveis ou em evolução.","alta",""
"Ernestina","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos com endereços (ex.: Ginásio Municipal Sérgio Dias - Manivela, Rua Professor Adão Oscar Wiebelling; Salão da Paróquia Católica São José, Rua Alfredo Eitelwein) e menção genérica à evacuação/assistência às vítimas sem indicação de trajeto por ruas nomeadas até ponto de encontro (ex.: ""Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."")","alta",""
"Espumoso","vermelho","semáforo (verde/vermelho)","N/A","Seção 4 (Áreas de Risco do Município): tabela listando bairros (Bairro Paraíso, Bairro São Jorge, Bairro Franciosi, Bairro União, Bairro Maravalha, Bairro Santa Julia, Bairro Centro) com risco ""Alagamentos""; não há descrição de trajetos/ruas nomeadas ligando áreas de risco a ponto de encontro nem mapa de rotas no documento recuperado.","alta",""
"Estação","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; o documento contém apenas seção de 'Evacuação' sem detalhar ruas e lista de abrigos com endereços (ex.: 'ABRIGO I Ginásio Municipal Rua Fiorello Piazzetta – 95')","alta",""
"Esteio","vermelho","semáforo (verde/vermelho)","N/A","""As áreas de evacuação serão planejadas de acordo com a magnitude e evolução do evento, e sempre que houver a necessidade de evacuação de urgência, devendo ser estabelecidas as rotas de acordo com o evento."" [ref_id:0]","alta",""
"Estrela Velha","vermelho","semáforo (verde/vermelho)","N/A","Lista de abrigos: ""Parque de Eventos Municipal Oscar Leite de Morais"" com endereço RSC 481, KM 77, nº 2707; seção 4 ""Áreas de Risco do Município"" lista locais/rios e riscos (inundação, enxurrada) sem indicação de trajeto ou ruas nomeadas; instruções gerais em 5.x sobre ações (abrigo, limpeza, distribuição) sem ruas/rotas especificadas.","alta",""
"Estrela","verde","semáforo (verde/vermelho)","Bairro Auxiliadora: Ruas Geraldo Pereira, João Alberto Rohenckohl, São Cristóvão, Mena Barreto, Josefina Diel; Bairro Alto da Bronze: Ruas Antonio Horn, Albino Francisco Horn, Carlos Matte, São Francisco; Linha Arroio do Ouro (cota 23,10) e RS 129 para Comunidade Linha Figueira (cota 24,80).","BAIRRO AUXILIADORA: Ruas Geraldo Pereira (cota 25,30), João Alberto Rohenckohl (cota 23,30), São Cristóvão (cota 24,40) Mena Barreto (cota 26,30), Josefina Diel (cota 26,30) [ref_id:7][ref_id:15]","media",""
"Estância Velha","vermelho","semáforo (verde/vermelho)","N/A","A seção de EVACUAÇÃO menciona 'mobilizar essa população para os pontos de apoio' e 'áreas de evacuação', 'Rotas de fuga' e lista de abrigos com endereços, mas não descreve trajetos específicos com ruas nomeadas ligando áreas de risco a pontos de encontro; há referências genéricas como 'pelas vias principais' e lista de locais de risco por ruas, sem indicar rotas de evacuação definidas (ex.: 'Organização da Área Afetada... - Rotas de fuga; - Pontos de encontro;' e lista de abrigos).","alta",""
"Faxinal do Soturno","vermelho","semáforo (verde/vermelho)","N/A","N/A","alta",""
"Fazenda Vilanova","vermelho","semáforo (verde/vermelho)","N/A","7. Lista de Abrigos ... Abrigo 1 Identificação Endereço Responsável Telefone Área (m2) Cozinha Banheiros","alta",""
"Feliz","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ""Áreas de Risco do Município"" com pontos de enchente e deslizamento (P1–P5) incluindo localidades e coordenadas, e seção de ações cita ""Retirada de pessoal da área de risco – salvamento de pessoas"" e ""Abrigos (shelters)"", mas não descreve trajetos específicos com ruas nomeadas ligando áreas de risco a pontos de encontro ou mapas de rotas definidos.","alta",""
"Floriano Peixoto","vermelho","semáforo (verde/vermelho)","N/A","Não há indicação de trajeto de evacuação com vias nomeadas; o documento lista abrigos com endereços (ex.: ""EEMF Floriano Peixoto ... Endereço: Rua Antonio Pauletti 1109"") e ações gerais como ""Realizar a remoção de pessoas das áreas de risco"" sem descrever ruas ou trajeto até ponto seguro","alta",""
"Fontoura Xavier","vermelho","semáforo (verde/vermelho)","N/A","""Estabelecer os roteiros alternativos de deslocamento das equipes, do Plano de Contingência;"" [ref_id:5] / Lista de abrigos com endereços (ex.: ""Ginásio Poliesportivo Tio Onofre Av. 09 de julho – centro – Fontoua Xavier /RS"") [ref_id:0][ref_id:8]","alta",""
"Formigueiro","vermelho","semáforo (verde/vermelho)","N/A","Áreas de Risco do Município: lista de localidades com riscos (Fundo do Formigueiro, Passo do Maia, Passo dos Brum, Colônia Antão Farias, Invernadinha, Granja do Sossego, Pitangueira, Rincão do Jacob) e observação sobre margens dos rios; ativação do plano e local de posto de comando (residência do Prefeito na Rua Tancredo Cardoso, 59 ou prefeitura) — não há descrição de trajeto de evacuação com ruas nomeadas até ponto de encontro seguro.","alta",""
"Forquetinha","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação específico com ruas nomeadas ligando área de risco a ponto de encontro; o documento lista áreas de risco, pontos de encontro da equipe (ex.: ""ponto de encontro ... Centro Administrativo Municipal, situado na Rua Johann Kremer, 1316, Centro, Forquetinha"") e abrigos com endereços, mas não descreve rotas de evacuação explicitamente (ex.: ""Rua Franz Richter Alagamento ... até a esquina da Escola de Ensino Fundamental João Batista de Mellho"")","alta",""
"Fortaleza dos Valos","vermelho","semáforo (verde/vermelho)","N/A","5.2 - Retirar as pessoas e encaminhar para abrigo seguro (lista de abrigos com endereços: ex. Ginásio Escola 18 de Abril — Endereço: Rua Rubin; CTG Estancia do Umbu — Endereço: Rua dos Lusos; Salão Paroquial São Pedro — Endereço: Rua Padre Pompeo).","alta",""
"Gaurama","vermelho","semáforo (verde/vermelho)","N/A","Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes.","alta",""
"Gentil","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS ... Endereço: Avenida 20 de Março, S/N - Centro; Ginásio Municipal Endereço: Avenida Primavera, S/N - Centro; não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro nem mapa de rotas no documento recuperado.","alta",""
"Getúlio Vargas","vermelho","semáforo (verde/vermelho)","N/A","Não há indicação de trajetos de evacuação com ruas nomeadas; o documento lista apenas 'Áreas de Risco' e ações gerais como 'Alerta e alarme', 'Ações de socorro' e identificação de locais de risco (ex.: ""Xv de novembro Vendaval, granizo"", ""Monte claro Vendaval, granizo"", ""Interior Estiagem, enxurrada"", ""Centro Alagamento"").","alta",""
"Glorinha","vermelho","semáforo (verde/vermelho)","N/A","""iniciar, se for o caso, a preparação de abrigos e rotas de fuga.""","alta",""
"Gramado Xavier","vermelho","semáforo (verde/vermelho)","N/A","O documento traz apenas ações gerais de evacuação e lista de abrigos com endereços (ex.: ""5.3 – Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."")[ref_id:2] e ""Lista De Abrigos... Abrigo I... Endereço: Rua 25 de junho"" (abrigo não é rota)[ref_id:4]","alta",""
"Gravataí","vermelho","semáforo (verde/vermelho)","N/A","Caberá ao órgão de Proteção e Defesa Civil municipal a organização da cena, ativando preliminarmente as áreas para: · Posto de Comando; · Área de espera; · Áreas de evacuação; · Rotas de fuga; · Pontos de encontro; · Abrigos.","alta",""
"Guaíba","vermelho","semáforo (verde/vermelho)","N/A","""a evacuação das áreas afetadas sempre pelas principais ruas a serem definidas de acordo com a magnitude do evento adverso"" [ref_id:0]","alta",""
"Harmonia","vermelho","semáforo (verde/vermelho)","N/A","O documento lista procedimentos gerais, fases de alerta, ações de resposta e cadastro de abrigos/pontos (ex.: ""Pontos de Abastecimento de água"", ""Cadastro de Localização de Abrigos"", lista de prédios e coordenadas), mas não descreve um trajeto de evacuação específico com ruas nomeadas ligando área de risco a ponto de encontro (não há trechos como ""pela Rua X até o ponto de encontro na Escola Y"").","alta",""
"Herval","vermelho","semáforo (verde/vermelho)","N/A","Documento contém seção 'Rotas de Fuga' não encontrada; há lista de abrigos com endereços (Ginásio Municipal de Esportes - Rua José Maria D’Ávila; Estação Basílio - Basílio; Deus é Vida - São Vergílio) e seção 4 'Áreas de Risco' e ações (5.1–5.5) mas não descreve trajeto de evacuação por ruas nomeadas ligando área de risco a ponto de encontro.","alta",""
"Herveiras","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação específicos com ruas/vias nomeadas ligando diretamente uma área de risco a um ponto de encontro; o documento lista instalações/abrigos com endereços (ex.: ""Estacionamento Prefeitura Municipal - Rua: Germano Wink – 525"") e menciona 'rotas de fuga' de forma genérica e 'plano de evacuação definido e ensaiado periodicamente' sem detalhar ruas ou mapas de trajetos específicos.","alta",""
"Ibarama","vermelho","semáforo (verde/vermelho)","N/A","Não há trechos que descrevam trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a pontos de encontro; o plano lista ""Áreas de Risco do Município"" e uma ""Lista de Abrigos"" com endereços, e indica ações como ""desobstrução de vias públicas"" e ""recepção e acolhimento de desabrigados"", mas não descreve rotas específicas nem mapas de rotas definidos com nomes de ruas","alta",""
"Ibiaçá","vermelho","semáforo (verde/vermelho)","N/A","O documento lista 'LISTA DE ABRIGOS' com endereços e capacidade e contém instruções genéricas sobre evacuação/organização (ex.: 'conduzir buscas, resgate e evacuação'; 'pelas vias principais' não aparece como trajeto nomeado), mas não descreve trajeto específico com ruas nomeadas ligando área de risco a ponto de encontro nem apresenta mapa de rotas definido.","alta",""
"Ibiraiaras","vermelho","semáforo (verde/vermelho)","N/A","A secção ""4. Áreas de Risco do Município"" apresenta uma tabela cujo conteúdo aparece vazia nesta página; não há descrições de trajeto nem ruas nomeadas nos trechos recuperados do plano.","alta",""
"Ibirapuitã","vermelho","semáforo (verde/vermelho)","N/A","Não há descrito no documento um trajeto de evacuação com ruas nomeadas; o plano lista abrigos com endereços (ex.: ""Ginásio Municipal de Esportes João Luiz Bortoncello — Endereço: Rua Bento Gonsalves 425"") e indica evacuação/abrigo de populações em risco de forma genérica (ex.: ""Evacuação e abrigo de populações em risco""), sem indicar ruas ou trajeto definido entre área de risco e ponto de encontro.","alta",""
"Ibirubá","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto com ruas nomeadas; o documento lista 'Áreas de Risco' por bairros e ações como 'Evacuação' sem indicar ruas ou percurso (ex.: bairros Floresta, Chácara, Bangu, Santa Helena) e contém lista de ações 5.1 Evacuação, etc.","alta",""
"Igrejinha","vermelho","semáforo (verde/vermelho)","N/A","""a evacuação das áreas afetadas sempre pelas principais ruas a serem definidas de acordo com a magnitude do evento adverso"" [ref_id:1]","alta",""
"Ilópolis","vermelho","semáforo (verde/vermelho)","N/A","Section 4 (Área de Risco do Município) lista locais com riscos (ex.: ""Rua Augusto Tomasini — Enxurradas — Obstrução e alagamento""; ""Toda extensão das estradas vicinais — Enxurradas — Obstrução de vias""), mas o documento não descreve um trajeto de evacuação com ruas nomeadas ligando a área de risco a um ponto de encontro/local seguro nem apresenta mapa de rotas definido.","alta",""
"Imigrante","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos: Abrigo 1 ... Endereço Rua Augusto Gärtner, - Centro; Abrigo 2 ... Av. Dr. Ito João Snel, 640 - Centro; (o documento apresenta lista de abrigos e áreas de risco, sem indicação de trajeto de evacuação com ruas nomeadas ligando a área de risco a ponto de encontro)","alta",""
"Ipiranga do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há no documento trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro; o plano apresenta identificação de riscos, contatos, recursos e abrigos/recursos, mas não descreve rotas específicas nomeadas (ex.: somente listas de recursos, áreas de risco e acionamento do plano).","alta",""
"Itaara","vermelho","semáforo (verde/vermelho)","N/A","O documento inclui seção ""Lista De Abrigos"" com endereços de abrigos (ex.: ""Rua Marcelino de Almeida"") e seção de ""Áreas de Risco"" e ""Que ações devem ser desenvolvidas?"", mas não descreve trajetos de evacuação com ruas nomeadas ligando área de risco a ponto de encontro nem mapas de rotas específicos.","alta",""
"Itapuca","vermelho","semáforo (verde/vermelho)","N/A","Nenhuma menção a trajeto de evacuação com ruas nomeadas ou mapa de rotas foi encontrada; o documento contém caracterização de cenário, lista de eventos, contatos e procedimentos de acionamento do plano, sem indicação de ruas/itinerários específicos.","alta",""
"Ivorá","vermelho","semáforo (verde/vermelho)","N/A","Seção 5 indica ações como ""Retirar e encaminhar pessoas a casas de parentes e, se necessário, aos abrigos"" e Seção 7 lista abrigos com endereços (ex.: ""Ginásio Augusto Zanela, localizado na Rua Bento Gonçalves""; ""Salão Paroquial, na Rua São José"") — não há descrição de trajeto/ruas nomeadas ligando áreas de risco a ponto de encontro","alta",""
"Ivoti","vermelho","semáforo (verde/vermelho)","N/A","11.2 ROTAS DE FUGA 11.2.1 Identificação 11.2.2 Localização 11.2.3 Sinalização","alta",""
"Jacuizinho","vermelho","semáforo (verde/vermelho)","N/A","Documento lista '5.1 Evacuação da área de risco' e '5.2 Encaminhamento das famílias para um local seguro', sem citar ruas, trajetos ou pontos de encontro nomeados.","alta",""
"Jaguari","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos ... Endereço: RUA PREFEITO SILVIO MARCHIORI - GINASIÃO; 5.2 retirar e encaminhar pessoas a casas de parentes e se necessário aos abrigos; 5.4 obstruir passagens de vias se assim necessário","alta",""
"Jaguarão","verde","semáforo (verde/vermelho)","Listagem de ruas/vias com trechos direcionando para a orla do Rio Jaguarão (ex.: Rua Andrade Neves a partir do seu início até a Rua Fernandes Vieira; Rua Nelson Wortmann a partir da Rua Odilo Gonçalves descendo até a orla do Rio Jaguarão; Rua Fernandes Vieira a partir da Rua Andrade Neves descendo até a Orla do Rio Jaguarão; várias outras ruas listadas com ""a partir de... descendo até a orla do Rio Jaguarão""), indicando trajetos nomeados da área de risco até ponto seguro/orla.","“BAIRRO VENCATO: Rua Andrade Neves (a partir do seu início até a Rua Fernandes Vieira); Rua Nelson Wortmann (a partir da Rua Odilo Gonçalves, descendo até a orla do Rio Jaguarão)... CENTRO: Rua Fernandes Vieira (a partir da Rua Andrade Neves, descendo até a Orla do Rio Jaguarão); Rua Maurity (a partir da Rua Andrade Neves, descendo até a Orla do Rio Jaguarão); Rua Atahualpa Gonçalves Dias (a partir da Rua Silveira Martins, descendo até a orla do Rio Jaguarão); Rua João Pessoa – Praça Dario de Almeida Neves, (a partir da Rua Barão do Rio Branco, descendo até a orla do Rio Jaguarão);” [ref_id:0][ref_id:1]","alta",""
"Jari","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ações gerais (ex.: ""Retirar e encaminhar pessoas para casas de parentes, e se necessário, aos abrigos comunitários"") e relaciona abrigos com endereços (ex.: ""ABRIGO 01 ... Endereço: Rua Alfredo dos Santos, nº 253, Bairro Centro""), mas não descreve trajeto de evacuação específico com ruas nomeadas ligando área de risco a ponto de encontro nem apresenta mapa de rotas definido.","alta",""
"Júlio de Castilhos","vermelho","semáforo (verde/vermelho)","N/A","Documento lista ações como ""verificar e evacuar acessos/rotas"" e ""planejar rotas e sinalização para locais vulneráveis"", e apresenta IDENTIFICAÇÃO DE ABRIGOS com endereços, mas não descreve trajetos específicos por ruas nomeadas nem mapa de rotas detalhado","alta",""
"Lagoa Bonita do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento lista ""Que ações devem ser desenvolvidas?"" e fornece ""Lista De Abrigos"" com endereço do GINASIO MUNICIPAL DE ESPORTES BONITÃO — AV. JOSE LUCHESE, além de ações gerais (ex.: retirar e encaminhar pessoas a abrigos, desobstrução de estradas) e referência a ""Áreas rurais"" e ""Perímetro urbano"" como áreas de risco, sem indicar ruas/vias específicas ou mapa de rotas.","alta",""
"Lagoa Vermelha","vermelho","semáforo (verde/vermelho)","N/A","ABRIGOS - 1 ... Endereço: Rua 14 de Julho","alta",""
"Lagoa dos Três Cantos","vermelho","semáforo (verde/vermelho)","N/A","Não há trechos que descrevam um trajeto de evacuação específico com ruas/vias nomeadas ligando área de risco a ponto de encontro; o documento traz listas de ""Ações a serem desenvolvidas"", mapas da área afetada e lista de abrigos (endereço) mas não rotas detalhadas (ex.: páginas com ""Ações a serem desenvolvidas"" e seção ""Abrigos"") [ref_id:2][ref_id:8][ref_id:10]","alta",""
"Lagoão","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos ... Abrigo I Identificação: GINASIO DE ESPORTES HILDEMAR BORGES Endereço: RUA GABRIEL NUNES","alta",""
"Lajeado","verde","semáforo (verde/vermelho)","Anexo 11: Mapas Rotas de Fuga e Cotas de inundação (mapas com rotas de fuga são incluídos no anexo)","Anexo 11: Mapas Rotas de Fuga e Cotas de inundação 40","media",""
"Lindolfo Collor","vermelho","semáforo (verde/vermelho)","N/A","Seção '2.1.2 Rota de fuga' presente no sumário, mas o conteúdo do plano apresenta apenas descrições gerais do cenário e procedimentos (ex.: 'Remover moradores em situação de emergencia'), sem indicação de trajeto específico com ruas/vias nomeadas ligando áreas de risco a ponto de encontro seguro.","alta",""
"Linha Nova","vermelho","semáforo (verde/vermelho)","N/A","Mapear rotas de fuga e pontos de abrigo","alta",""
"Machadinho","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando a área de risco a um ponto de encontro; o documento traz orientações genéricas, lista de recursos e locais (ex.: locais de doações, estoques, coordenadas de veículos) e referências a alertas sonoros e ZAS, sem indicar ruas nomeadas ou mapa de rotas específico.","alta",""
"Maratá","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro; o documento lista abrigos com endereços e indicações genéricas de ações/monitoramento (ex.: ""Lista De Abrigos"" e seções de monitoramento e ações) e áreas de risco sem rotas nominais.","alta",""
"Marau","vermelho","semáforo (verde/vermelho)","N/A","LOCAIS PARA ABRIGO: ... Endereço: Rua Rui Barbosa nr 01; ... LOCAIS PARA ABRIGO: ... listagem de comunidades e contatos; NÃO há indicação de trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro nem mapa de rotas no documento recuperado.","alta",""
"Marcelino Ramos","verde","semáforo (verde/vermelho)","Mapa e figura do plano mostram rotas de fuga nomeadas e ponto(s) de encontro: 'Rota de Fuga, Ponto de Encontro e Sistema de Alerta ZAS UHMA EM MARCELINO RAMOS' com linhas vermelhas indicadas como 'Rota de fuga e sentido de circulação sugerido' ligando áreas ribeirinhas a pontos de encontro (marcados por pinos verdes) na comunidade Linha Volta Grande e margens do rio; texto afirma que 'o município de Marcelino Ramos... está contemplado por duas rotas de fuga, um ponto de encontro e um sistema sonoro'","""ROTA DE FUGA, PONTO DE ENCONTRO E SISTEMA DE ALERTA ZAS UHMA EM MARCELINO RAMOS"" (mapa com linhas vermelhas e pinos verdes) [ref_id:0][ref_id:3] ""o município de Marcelino Ramos está contemplado por duas rotas de fuga, um ponto de encontro e um sistema sonoro"" [ref_id:1]","alta",""
"Mariana Pimentel","vermelho","semáforo (verde/vermelho)","N/A","‘Estabelecer rotas alternativas para deslocamentos das equipes, do Plano de Contingência;’ [ref_id:0] e ‘Estabelecer rotas de evacuação’ [ref_id:0] e descrições de desvios/vias secundárias genéricas (ex.: ‘usar um desvio por via secundária, a fim de alcançar a BR-116, conforme ilustrado na Figura 5’) [ref_id:1]","alta",""
"Marques de Souza","verde","semáforo (verde/vermelho)","Exemplos de trajetos nomeados: ""Rua Erno Otto Scherer em direção à capela/mortuário e EMEI Pequenos Passos""; ""Rua Getúlio Vargas ao lado da EMEI Brilho de Infância""; ""Rua 10 de Novembro""; outras opções numeradas (01–09) com ruas e direções especificadas na seção 'Rotas de Fuga dos Atingidos'.","""Below: 'Rotas de Fuga dos Atingidos' — numbered escape-route options (01–09) giving suggested streets and directions for evacuation (examples: Rua Erno Otto Scherer toward the chapel/mortuary and EMEI Pequenos Passos; Rua Getúlio Vargas beside EMEI Brilho de Infância; Rua 10 de Novembro)"" [ref_id:0]","alta",""
"Mata","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos ... Abrigo I Identificação: Ginásio Poliesportivo Endereço: Rua nossa Senhora das Graças ... Abrigo II Identificação: Salão Paroquial Endereço: Rua da Matriz ... Abrigo III Identificação: Escola Florismundo Eggres da Silva Endereço: Rua Presidente Vargas ...","alta",""
"Mato Castelhano","vermelho","semáforo (verde/vermelho)","N/A","""LISTA DE ABRIGOS... Identificação: Ginásio Poliesportivo Municipal Antonio Raul Giraldi... Identificação: Salão comunitário da Capela São Roque."" [ref_id:15]","alta",""
"Mato Leitão","vermelho","semáforo (verde/vermelho)","N/A","Evacuação : assistência as vitimas via Secretaria de Assistência Social , alojamento em abrigos e casa de parentes caso necessário","alta",""
"Maximiliano de Almeida","vermelho","semáforo (verde/vermelho)","N/A","o documento menciona que foram realizados ""testes e treinamentos a população para rotas de fuga no ano de 2024"" e descreve abrigos com endereços, mas não apresenta trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro nem mapa de rotas específico","alta",""
"Minas do Leão","vermelho","semáforo (verde/vermelho)","N/A","O documento lista 'Áreas de Risco' e 'Lista De Abrigos' com endereços (ex.: 'Endereço: Érico Valença, centro, 65') e indica ações genéricas como 'Retirada das famílias atingidas' e 'Abrigamento em locais públicos (ginásio, escolas e espaços sociais)'. Não há descrição de trajeto específico com ruas nomeadas ligando área de risco a ponto de encontro nem mapa de rotas.","alta",""
"Montenegro","vermelho","semáforo (verde/vermelho)","N/A","a evacuação das áreas afetadas sempre pelas principais ruas a serem definidas de acordo com a magnitude do evento adverso","alta",""
"Mormaço","vermelho","semáforo (verde/vermelho)","N/A","2.1.2 Rota de fuga (título presente), sem descrição de ruas nomeadas; trechos do documento indicam itens como 'Rota de fuga' e 'Imagens' mas não há texto com trajeto específico identificado nas páginas recuperadas.","alta",""
"Morro Redondo","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação com ruas nomeadas conectando área de risco a ponto de encontro; o documento apresenta apenas 'Áreas de Risco', 'Fases do Socorro', e lista de abrigos com endereços (ex.: 'Abrigo I ... Rua das Azaleias nº 25') sem indicar rota de evacuação específica","alta",""
"Morro Reuter","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGO Identificação: Ginásio Municipal de Esportes Endereco: Travessa 1º de Maio","alta",""
"Muliterno","vermelho","semáforo (verde/vermelho)","N/A","O documento lista abrigo e recursos e descreve procedimentos gerais; não apresenta trajetos de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro.","alta",""
"Nicolau Vergueiro","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento contém mapa municipal, contatos, locais de doação/abrigo com endereços e seção de acionamento do plano, sem indicar ruas específicas para rotas de fuga ou mapa de rotas definido.","alta",""
"Nova Alvorada","vermelho","semáforo (verde/vermelho)","N/A","ABRIGOS - 1 Tipo: GINASIO Nome: Ginásio Municipal de Esportes Responsável: Edilson Romanini Endereço: Av. Frei Manoel, 1718, centro","alta",""
